src_ip,dst_ip,protocol,length
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,1466
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,7114
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,1466
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,46650
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,17697
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,21947
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,1466
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,19822
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,11350
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,12762
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,12762
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,42414
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,1466
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,7114
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,1466
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,16998
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,5702
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,5702
142.251.222.74,192.168.73.128,6,11350
192.168.73.128,142.251.222.74,6,54
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,16998
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,15586
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,4290
142.251.222.74,192.168.73.128,6,4290
142.251.222.74,192.168.73.128,6,4290
192.168.73.128,142.251.222.74,6,54
192.168.73.128,142.251.222.74,6,54
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,11350
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,9938
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,7114
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,8526
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,11350
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,5702
142.251.222.74,192.168.73.128,6,4290
142.251.222.74,192.168.73.128,6,1466
192.168.73.128,142.251.222.74,6,54
192.168.73.128,142.251.222.74,6,54
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,11350
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,2878
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,48062
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,16998
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,12762
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,12762
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,8526
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,16998
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,4290
142.251.222.74,192.168.73.128,6,8526
192.168.73.128,142.251.222.74,6,54
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,14174
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,2878
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,1466
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,39590
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,15586
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,18410
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,14174
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,2878
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,16998
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,16998
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,16998
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,16998
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,15586
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,7114
142.251.222.74,192.168.73.128,6,9938
192.168.73.128,142.251.222.74,6,54
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,16998
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,18410
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,5702
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,42414
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,16998
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,16998
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,11350
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,31118
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,14174
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,11350
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,1466
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,8526
142.251.222.74,192.168.73.128,6,2878
192.168.73.128,142.251.222.74,6,54
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,4290
142.251.222.74,192.168.73.128,6,8526
192.168.73.128,142.251.222.74,6,54
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,8526
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,16998
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,5702
142.251.222.74,192.168.73.128,6,5702
192.168.73.128,142.251.222.74,6,54
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,5702
142.251.222.74,192.168.73.128,6,8526
192.168.73.128,142.251.222.74,6,54
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,5702
142.251.222.74,192.168.73.128,6,2878
192.168.73.128,142.251.222.74,6,54
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,9938
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,8526
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,7114
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,16998
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,5702
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,11350
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,16998
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,16998
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,14174
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,2878
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,38178
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,12762
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,8526
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,7114
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,5702
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,8526
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,9938
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,8526
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,19822
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,7114
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,26882
142.251.222.74,192.168.73.128,6,14174
192.168.73.128,142.251.222.74,6,54
